,text_encoding_tsne_1,text_encoding_tsne_2
92,66.90555,-7.442526
93,52.939327,4.9199543
94,-7.5170274,-0.07667559
95,-7.5170274,-0.07667559
96,-7.5170274,-0.07667559
97,-7.5170274,-0.07667559
98,59.0141,-12.271921
99,-7.5170274,-0.07667559
100,60.41622,-6.146052
101,-7.5170274,-0.07667559
102,-7.5170274,-0.07667559
103,-7.5170274,-0.07667559
104,54.967007,-11.828191
105,-7.5170274,-0.07667559
106,-7.5170274,-0.07667559
107,51.954655,-0.069817625
108,54.199974,-6.344272
109,-7.5170274,-0.07667559
110,56.133938,3.1188712
111,-7.5170274,-0.07667559
112,58.783726,-2.7910151
113,-7.5170274,-0.07667559
114,-7.5170274,-0.07667559
115,52.587658,-6.6438375
116,59.480717,-4.749098
117,-7.5170274,-0.07667559
118,62.939022,9.3312845
119,-7.5170274,-0.07667559
120,63.076603,4.341442
121,-7.5170274,-0.07667559
122,56.380726,9.496066
123,55.077206,-1.0483088
124,-7.5170274,-0.07667559
125,-7.5170274,-0.07667559
126,-7.5170274,-0.07667559
127,-7.5170274,-0.07667559
128,-7.5170274,-0.07667559
129,-7.5170274,-0.07667559
130,-7.5170274,-0.07667559
131,-7.5170274,-0.07667559
132,-7.5170274,-0.07667559
133,-7.5170274,-0.07667559
134,-7.5170274,-0.07667559
135,-7.5170274,-0.07667559
136,-7.5170274,-0.07667559
137,-7.5170274,-0.07667559
138,-7.5170274,-0.07667559
139,-7.5170274,-0.07667559
140,-7.5170274,-0.07667559
141,53.561584,14.35119
142,-7.5170274,-0.07667559
143,-7.5170274,-0.07667559
144,61.925995,4.5772133
145,-7.5170274,-0.07667559
146,57.01231,15.368342
147,-7.5170274,-0.07667559
148,-7.5170274,-0.07667559
149,-7.5170274,-0.07667559
150,-7.5170274,-0.07667559
151,54.320496,10.4459915
152,-7.5170274,-0.07667559
153,-7.5170274,-0.07667559
154,-7.5170274,-0.07667559
155,-7.5170274,-0.07667559
156,-7.5170274,-0.07667559
157,-7.5170274,-0.07667559
158,55.22467,-6.217742
159,-7.5170274,-0.07667559
160,50.66914,-3.100565
161,59.172333,12.630866
162,-7.5170274,-0.07667559
163,-7.5170274,-0.07667559
164,56.824684,0.2774049
165,-7.5170274,-0.07667559
166,-7.5170274,-0.07667559
167,-7.5170274,-0.07667559
168,-7.5170274,-0.07667559
169,60.73348,7.1578956
170,-7.5170274,-0.07667559
171,-7.5170274,-0.07667559
172,48.99619,2.1104913
173,-7.5170274,-0.07667559
174,58.720936,-6.141377
175,63.213528,-6.106738
176,-7.5170274,-0.07667559
177,-7.5170274,-0.07667559
178,-7.5170274,-0.07667559
179,-7.5170274,-0.07667559
180,-7.5170274,-0.07667559
181,51.08211,8.002532
182,-7.5170274,-0.07667559
183,-7.5170274,-0.07667559
184,46.80685,-1.5883356
185,-7.5170274,-0.07667559
186,62.009193,-6.544982
187,-7.5170274,-0.07667559
188,-7.5170274,-0.07667559
189,53.379456,7.697464
190,50.90025,-3.52032
191,-7.5170274,-0.07667559
192,48.84633,-6.3465858
193,-7.5170274,-0.07667559
194,56.112385,-4.876716
195,-7.5170274,-0.07667559
196,-7.5170274,-0.07667559
197,56.908108,3.7640486
198,-7.5170274,-0.07667559
199,55.395855,0.8925746
200,51.089153,9.227237
201,62.14203,4.381768
202,-7.5170274,-0.07667559
203,56.089382,12.268909
204,53.304058,6.886251
205,-7.5170274,-0.07667559
206,-7.5170274,-0.07667559
207,-7.5170274,-0.07667559
208,53.253674,-12.167311
209,-7.5170274,-0.07667559
210,54.884182,-9.427786
211,46.826416,-1.6392728
212,-7.5170274,-0.07667559
213,53.605427,-0.5884482
214,56.177887,2.8348968
215,51.8591,-7.211816
216,61.1598,-0.06993244
217,-7.5170274,-0.07667559
218,-7.5170274,-0.07667559
219,54.403873,-8.869057
220,-7.5170274,-0.07667559
221,-7.5170274,-0.07667559
222,-7.5170274,-0.07667559
223,54.613155,-13.587791
224,50.89369,1.446685
225,-7.5170274,-0.07667559
226,-7.5170274,-0.07667559
227,-7.5170274,-0.07667559
228,-7.5170274,-0.07667559
229,-7.5170274,-0.07667559
230,-7.5170274,-0.07667559
231,-7.5170274,-0.07667559
232,-7.5170274,-0.07667559
233,63.165073,-11.639624
234,-7.5170274,-0.07667559
235,-7.5170274,-0.07667559
