tsne_1,tnse_2
1.2381085,-46.39545
-4.4265394,14.5093155
0.1944027,13.520098
50.216194,-1.6999526
-2.4100277,-3.4360516
-24.222807,3.3210456
-62.85451,-28.252178
13.829905,22.471779
-13.578817,-2.2636771
14.821911,34.734707
26.933811,16.116064
-19.434143,-42.876038
37.922695,35.514786
-43.607136,-29.867739
7.656298,14.654679
-11.367565,-30.94448
-56.96515,13.816075
-28.872742,20.19626
12.758424,33.97011
-4.1229215,-21.621841
-42.582195,5.834781
-46.631508,-19.781796
-33.00681,-22.099007
-49.452744,15.825962
-25.399931,8.456517
-35.05344,-44.788082
17.61108,-18.377062
-25.370346,-26.3417
18.863995,-51.827583
-58.25553,1.4788501
-33.21707,-29.592651
-12.548191,41.41461
-5.061733,4.5530047
49.30555,41.520798
35.51504,-18.808659
19.765638,-2.2713997
35.817856,-8.574302
-64.09612,-0.8982695
-34.908566,2.874056
-31.404032,24.829498
13.056749,-1.3818495
-21.953838,43.164967
-3.034396,8.998751
19.641562,21.197319
-44.943844,-35.09776
39.842953,46.05001
0.70658296,-40.13801
-17.933838,21.39599
3.9547951,11.786707
-28.613558,-41.301525
-5.806299,38.24098
-55.768192,3.7951226
50.008423,49.66754
25.526058,40.44242
-6.7998004,11.786978
-26.33848,36.12938
44.325188,46.86955
-6.473863,-13.533557
12.289404,-57.720707
-63.83984,-3.8329499
34.111523,-30.669012
20.374601,-38.255535
38.722797,13.196152
48.902084,55.890087
38.78274,-31.463617
-24.410116,-25.885782
15.137088,31.227795
-53.937965,-13.54769
-5.0716567,68.48662
59.970116,3.8411462
-11.869243,-32.094585
19.163157,-22.059057
-12.024699,39.91099
-69.44311,-3.6106389
-53.655197,0.6100074
28.895943,4.561292
-4.1485376,43.67596
-64.61758,-1.1386495
-24.407284,2.3085337
-26.13008,36.076435
8.160961,-40.119785
18.856808,-35.767784
-50.050053,-9.93941
-60.152874,16.217968
-14.845224,42.719128
15.113349,-2.9073153
-30.35263,21.055395
-31.960882,35.074993
-21.744802,-43.959827
-4.605827,17.080269
49.547367,23.622171
1.2011005,-6.5610466
1.3037419,-6.6097956
-14.359465,-37.069107
1.6430093,-14.094554
-24.430485,41.92573
-17.954185,-9.251297
-58.150604,-6.129903
38.23296,57.931767
-21.89008,8.89218
-29.328005,40.10423
18.896103,34.082596
27.434008,-43.548794
24.918139,-24.728577
36.8046,53.205456
3.2717717,6.1249614
1.9166052,-54.193756
-5.4115787,39.442474
10.081959,-59.199997
-17.991861,29.699532
36.669266,-31.738417
36.32545,-6.6542687
0.25703335,13.393151
-22.434496,47.30229
38.69993,37.136906
-38.94924,-32.716328
6.0695543,21.538057
41.93238,-9.848593
32.015907,-32.310986
-46.0957,-14.024114
-23.444685,45.240097
15.015477,-64.25748
21.66291,26.282907
-21.508717,-19.54771
-45.86056,-13.081246
51.877007,-33.086174
-34.642048,-25.040037
-18.644089,7.996013
17.823284,-21.94545
29.476427,52.112038
-60.478718,-3.023833
-40.581917,-37.38652
-53.37094,-4.8545613
-40.6069,-21.533264
10.793353,-58.48824
38.69597,13.189368
-11.400446,-54.600235
-19.733253,4.625219
-61.793575,-0.0884774
6.724777,50.238846
38.96047,-27.29112
-4.885202,67.9615
20.71791,-5.9782596
36.79377,50.553806
37.58173,59.291615
-54.058956,-0.5396273
35.777966,49.746544
17.227839,3.8978612
